date,visa_issuances,job_vacancy,inflation_pct,gdp_level,gdp_growth_yoy,month,year
2018-10-01,699235.0,7304,2.5,20304.874,,10,2018
2018-11-01,634227.0,7594,2.2,20304.874,,11,2018
2018-12-01,605625.0,7489,1.9,20304.874,,12,2018
2019-01-01,685885.0,7502,1.6,20431.641,,1,2019
2019-02-01,628803.0,7066,1.5,20431.641,,2,2019
2019-03-01,784154.0,7317,1.9,20431.641,,3,2019
2019-04-01,808839.0,7272,2.0,20602.275,,4,2019
2019-05-01,857242.0,7275,1.8,20602.275,,5,2019
2019-06-01,782554.0,7194,1.6,20602.275,,6,2019
2019-07-01,810329.0,7042,1.8,20843.322,2.797216868642849,7,2019
2019-08-01,742011.0,7178,1.7,20843.322,2.797216868642849,8,2019
2019-09-01,646913.0,7124,1.7,20843.322,2.797216868642849,9,2019
2019-10-01,630100.0,7289,1.8,20985.448,3.3517765241980912,10,2019
2019-11-01,613287.0,6888,2.1,20985.448,3.3517765241980912,11,2019
2019-12-01,650760.0,6699,2.3,20985.448,3.3517765241980912,12,2019
2020-01-01,670211.0,7124,2.5,20709.212,1.3585350290757248,1,2020
2020-02-01,578893.0,6966,2.3,20709.212,1.3585350290757248,2,2020
2020-03-01,400503.0,5894,1.5,20709.212,1.3585350290757248,3,2020
2020-04-01,46855.0,4606,0.3,19077.992,-7.39861495878491,4,2020
2020-05-01,40939.0,5612,0.1,19077.992,-7.39861495878491,5,2020
2020-06-01,46435.0,6129,0.6,19077.992,-7.39861495878491,6,2020
2020-07-01,57917.0,6530,1.0,20558.879,-1.3646720997737227,7,2020
2020-08-01,94416.0,6429,1.3,20558.879,-1.3646720997737227,8,2020
2020-09-01,111034.0,6511,1.4,20558.879,-1.3646720997737227,9,2020
2020-10-01,124078.0,6798,1.2,20791.917,-0.9222152417236895,10,2020
2020-11-01,124500.0,6820,1.2,20791.917,-0.9222152417236895,11,2020
2020-12-01,157225.0,6773,1.4,20791.917,-0.9222152417236895,12,2020
2021-01-01,138544.0,7162,1.4,21082.134,1.8007541764505586,1,2021
2021-02-01,168361.0,7827,1.7,21082.134,1.8007541764505586,2,2021
2021-03-01,260493.0,8499,2.6,21082.134,1.8007541764505586,3,2021
2021-04-01,247833.0,9346,4.2,21440.929,12.385669309432568,4,2021
2021-05-01,247222.0,9954,5.0,21440.929,12.385669309432568,5,2021
2021-06-01,349285.0,10319,5.4,21440.929,12.385669309432568,6,2021
2021-07-01,355388.0,10983,5.4,21617.828,5.1508109950936465,7,2021
2021-08-01,333506.0,10872,5.3,21617.828,5.1508109950936465,8,2021
2021-09-01,290312.0,10834,5.4,21617.828,5.1508109950936465,9,2021
2021-10-01,296442.0,11238,6.2,21988.737,5.756179192135091,10,2021
2021-11-01,361022.0,11199,6.8,21988.737,5.756179192135091,11,2021
2021-12-01,435665.0,11520,7.0,21988.737,5.756179192135091,12,2021
2022-01-01,414383.0,11210,7.5,21932.71,4.034582077886428,1,2022
2022-02-01,484571.0,11698,7.9,21932.71,4.034582077886428,2,2022
2022-03-01,678586.0,12301,8.5,21932.71,4.034582077886428,3,2022
2022-04-01,605651.0,11861,8.3,21967.045,2.4537929303342976,4,2022
2022-05-01,668835.0,11535,8.6,21967.045,2.4537929303342976,5,2022
2022-06-01,722962.0,11283,9.1,21967.045,2.4537929303342976,6,2022
2022-07-01,656119.0,11576,8.5,22125.625,2.3489732641040373,7,2022
2022-08-01,754062.0,10092,8.3,22125.625,2.3489732641040373,8,2022
2022-09-01,718175.0,10800,8.2,22125.625,2.3489732641040373,9,2022
2022-10-01,704734.0,10447,7.7,22278.345,1.3170742821654535,10,2022
2022-11-01,739257.0,10632,7.1,22278.345,1.3170742821654535,11,2022
2022-12-01,747686.0,10902,6.5,22278.345,1.3170742821654535,12,2022
2023-01-01,852689.0,10318,6.4,22439.607,2.3111462286238282,1,2023
2023-02-01,853572.0,9857,6.0,22439.607,2.3111462286238282,2,2023
2023-03-01,1109079.0,9655,5.0,22439.607,2.3111462286238282,3,2023
2023-04-01,850597.0,9966,4.9,22580.499,2.792610476283919,4,2023
2023-05-01,1013283.0,9368,4.0,22580.499,2.792610476283919,5,2023
2023-06-01,955094.0,9180,3.0,22580.499,2.792610476283919,6,2023
2023-07-01,861186.0,8657,3.2,22840.989,3.2331922827038895,7,2023
2023-08-01,938911.0,9254,3.7,22840.989,3.2331922827038895,8,2023
2023-09-01,849400.0,9259,3.7,22840.989,3.2331922827038895,9,2023
2023-10-01,885241.0,8580,3.2,23033.78,3.390893713155063,10,2023
2023-11-01,815973.0,8602,3.1,23033.78,3.390893713155063,11,2023
2023-12-01,755973.0,8520,3.4,23033.78,3.390893713155063,12,2023
2024-01-01,875162.0,8378,3.1,23082.119,2.8632943527041155,1,2024
2024-02-01,861383.0,8440,3.2,23082.119,2.8632943527041155,2,2024
2024-03-01,962731.0,8206,3.5,23082.119,2.8632943527041155,3,2024
2024-04-01,1054900.0,7529,3.4,23286.508,3.1266315239534936,4,2024
2024-05-01,1070656.0,7782,3.3,23286.508,3.1266315239534936,5,2024
2024-06-01,883594.0,7416,3.0,23286.508,3.1266315239534936,6,2024
2024-07-01,950883.0,7426,2.9,23478.57,2.7913896372876,7,2024
2024-08-01,931915.0,7520,2.5,23478.57,2.7913896372876,8,2024
2024-09-01,925157.0,6943,2.4,23478.57,2.7913896372876,9,2024
2024-10-01,977715.0,7379,2.6,23586.542,2.3997884845648576,10,2024
2024-11-01,811088.0,7566,2.7,23586.542,2.3997884845648576,11,2024
2024-12-01,884739.0,7295,2.9,23586.542,2.3997884845648576,12,2024
2025-01-01,954595.0,7431,3.0,23548.21,2.0192730138857806,1,2025
2025-02-01,914989.0,7242,2.8,23548.21,2.0192730138857806,2,2025
2025-03-01,1006227.0,6952,2.4,23548.21,2.0192730138857806,3,2025
2025-04-01,993250.0,7098,2.3,23770.976,2.0804665087611918,4,2025
2025-05-01,897937.0,7310,2.4,23770.976,2.0804665087611918,5,2025
2025-06-01,776959.0,7204,2.7,23770.976,2.0804665087611918,6,2025
2025-07-01,823304.0,7089,2.7,24026.834,2.335167772142843,7,2025
2025-08-01,842878.0,6919,2.9,24026.834,2.335167772142843,8,2025
2025-09-01,823557.0,7169,3.0,24026.834,2.335167772142843,9,2025
